Area,Time,Industry,Direction,Trade value
MK01 Uusimaa,201712,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,2067600643.7431307
MK01 Uusimaa,201712,H Transportation and storage (49-53),Imports by countries of origin,1881353969.7493067
MK01 Uusimaa,201712,H Transportation and storage (49-53),Exports by countries of destination,932909130.1617209
MK01 Uusimaa,201712,I Accommodation and food service activities (55-56),Imports by countries of origin,672813565.7089025
MK01 Uusimaa,201712,I Accommodation and food service activities (55-56),Exports by countries of destination,333628827.1314178
MK01 Uusimaa,201712,J Information and communication (58-63),Imports by countries of origin,3581788140.4720783
MK01 Uusimaa,201712,J Information and communication (58-63),Exports by countries of destination,1776105354.058722
MK01 Uusimaa,201712,K Financial and insurance activities (64-66),Imports by countries of origin,1942094083.320249
MK01 Uusimaa,201712,K Financial and insurance activities (64-66),Exports by countries of destination,963028399.2777517
MK01 Uusimaa,201712,"681, 68209, 683 Other real estate activities",Imports by countries of origin,1062157212.0165384
MK01 Uusimaa,201712,"681, 68209, 683 Other real estate activities",Exports by countries of destination,526693103.31292194
MK01 Uusimaa,201712,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,3248560459.517454
MK01 Uusimaa,201712,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,1610867365.3634794
MK01 Uusimaa,201712,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,2554360208.300623
MK01 Uusimaa,201712,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,1266633498.194379
MK01 Uusimaa,201712,N Administrative and support service activities (77-82),Imports by countries of origin,1679962681.216308
MK01 Uusimaa,201712,N Administrative and support service activities (77-82),Exports by countries of destination,833045003.1402104
MK01 Uusimaa,201712,O Public administration and defence; compulsory social security (84),Imports by countries of origin,1972440056.0004187
MK01 Uusimaa,201712,O Public administration and defence; compulsory social security (84),Exports by countries of destination,978076091.223112
MK01 Uusimaa,201712,P Education (85),Imports by countries of origin,1628133686.6070025
MK01 Uusimaa,201712,P Education (85),Exports by countries of destination,807344500.7065473
MK01 Uusimaa,201712,Q Human health and social work activities (86-88),Imports by countries of origin,2540439595.436228
MK01 Uusimaa,201712,Q Human health and social work activities (86-88),Exports by countries of destination,1259730668.0797615
MK01 Uusimaa,201712,"R, S Other service activities (90-96)",Imports by countries of origin,1173714787.7741141
MK01 Uusimaa,201712,"R, S Other service activities (90-96)",Exports by countries of destination,582011285.1311038
MK01 Uusimaa,201712,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,34440270.581462294
