Time,Area,Industry,Direction,Trade value
201512,MK07 Päijät-Häme,B Mining and quarrying (05-09),Imports by countries of origin,340386.7115302592
201512,MK07 Päijät-Häme,B Mining and quarrying (05-09),Exports by countries of destination,522747.73707407236
201512,MK07 Päijät-Häme,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,13968946.969337946
201512,MK07 Päijät-Häme,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,21452762.90223212
201512,MK07 Päijät-Häme,F Construction (41-43),Imports by countries of origin,94234751.90749255
201512,MK07 Päijät-Häme,F Construction (41-43),Exports by countries of destination,144720700.44073743
201512,MK07 Päijät-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,133051928.81853941
201512,MK07 Päijät-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,204334048.1493768
201512,MK07 Päijät-Häme,H Transportation and storage (49-53),Imports by countries of origin,61518352.21079569
201512,MK07 Päijät-Häme,H Transportation and storage (49-53),Exports by countries of destination,94476600.63504098
201512,MK07 Päijät-Häme,I Accommodation and food service activities (55-56),Imports by countries of origin,36486837.11672433
201512,MK07 Päijät-Häme,I Accommodation and food service activities (55-56),Exports by countries of destination,56034536.27790153
201512,MK07 Päijät-Häme,J Information and communication (58-63),Imports by countries of origin,21431271.029809013
201512,MK07 Päijät-Häme,J Information and communication (58-63),Exports by countries of destination,32913001.7534714
201512,MK07 Päijät-Häme,K Financial and insurance activities (64-66),Imports by countries of origin,12175370.835505428
201512,MK07 Päijät-Häme,K Financial and insurance activities (64-66),Exports by countries of destination,18698284.44149567
201512,MK07 Päijät-Häme,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,49696459.88341785
201512,MK07 Päijät-Häme,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,76321169.61281456
201512,MK07 Päijät-Häme,N Administrative and support service activities (77-82),Imports by countries of origin,62657338.51476233
201512,MK07 Päijät-Häme,N Administrative and support service activities (77-82),Exports by countries of destination,96225794.98601961
201512,MK07 Päijät-Häme,O Public administration and defence; compulsory social security (84),Imports by countries of origin,37940026.53902659
201512,MK07 Päijät-Häme,O Public administration and defence; compulsory social security (84),Exports by countries of destination,58266267.001563914
201512,MK07 Päijät-Häme,P Education (85),Imports by countries of origin,60392457.70342638
201512,MK07 Päijät-Häme,P Education (85),Exports by countries of destination,92747511.96625754
201512,MK07 Päijät-Häme,Q Human health and social work activities (86-88),Imports by countries of origin,199178593.43159094
201512,MK07 Päijät-Häme,Q Human health and social work activities (86-88),Exports by countries of destination,305887848.91711295
201512,MK07 Päijät-Häme,"R, S Other service activities (90-96)",Imports by countries of origin,48596748.96924317
201512,MK07 Päijät-Häme,"R, S Other service activities (90-96)",Exports by countries of destination,74632292.30842142
201512,MK07 Päijät-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,4490486.232879959
201512,MK07 Päijät-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,6896248.992938724
201512,MK08 Kymenlaakso,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,34090706.15476339
201512,MK08 Kymenlaakso,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,180931297.92160615
201512,MK08 Kymenlaakso,B Mining and quarrying (05-09),Imports by countries of origin,2191367.5249227015
201512,MK08 Kymenlaakso,B Mining and quarrying (05-09),Exports by countries of destination,11630353.701315807
201512,MK08 Kymenlaakso,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,14754377.93768978
201512,MK08 Kymenlaakso,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,78306642.81851836
201512,MK08 Kymenlaakso,F Construction (41-43),Imports by countries of origin,65579163.37368107
201512,MK08 Kymenlaakso,F Construction (41-43),Exports by countries of destination,348051550.82289976
201512,MK08 Kymenlaakso,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,91763515.10613811
201512,MK08 Kymenlaakso,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,487021061.24259937
201512,MK08 Kymenlaakso,H Transportation and storage (49-53),Imports by countries of origin,71966501.67075689
201512,MK08 Kymenlaakso,H Transportation and storage (49-53),Exports by countries of destination,381951388.6000305
201512,MK08 Kymenlaakso,I Accommodation and food service activities (55-56),Imports by countries of origin,24105042.774149716
201512,MK08 Kymenlaakso,I Accommodation and food service activities (55-56),Exports by countries of destination,127933890.71447387
201512,MK08 Kymenlaakso,J Information and communication (58-63),Imports by countries of origin,10645563.828459714
201512,MK08 Kymenlaakso,J Information and communication (58-63),Exports by countries of destination,56499729.62855122
201512,MK08 Kymenlaakso,K Financial and insurance activities (64-66),Imports by countries of origin,7246453.974460295
201512,MK08 Kymenlaakso,K Financial and insurance activities (64-66),Exports by countries of destination,38459465.0804875
201512,MK08 Kymenlaakso,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,37078934.5978398
201512,MK08 Kymenlaakso,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,196790871.15067315
201512,MK08 Kymenlaakso,N Administrative and support service activities (77-82),Imports by countries of origin,44748720.935069256
201512,MK08 Kymenlaakso,N Administrative and support service activities (77-82),Exports by countries of destination,237497109.10527846
201512,MK08 Kymenlaakso,O Public administration and defence; compulsory social security (84),Imports by countries of origin,129701565.3813624
201512,MK08 Kymenlaakso,O Public administration and defence; compulsory social security (84),Exports by countries of destination,688371559.6966293
201512,MK08 Kymenlaakso,P Education (85),Imports by countries of origin,46205482.301069
201512,MK08 Kymenlaakso,P Education (85),Exports by countries of destination,245228651.0544486
201512,MK08 Kymenlaakso,Q Human health and social work activities (86-88),Imports by countries of origin,150058871.64982042
201512,MK08 Kymenlaakso,Q Human health and social work activities (86-88),Exports by countries of destination,796414902.3196483
201512,MK08 Kymenlaakso,"R, S Other service activities (90-96)",Imports by countries of origin,43329312.42460796
201512,MK08 Kymenlaakso,"R, S Other service activities (90-96)",Exports by countries of destination,229963811.82147163
201512,MK08 Kymenlaakso,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,1668427.5473843296
201512,MK08 Kymenlaakso,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,8854928.386229081
201512,MK09 South Karelia,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,19153114.498889375
201512,MK09 South Karelia,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,64876730.0134794
201512,MK09 South Karelia,B Mining and quarrying (05-09),Imports by countries of origin,1324112.923129497
201512,MK09 South Karelia,B Mining and quarrying (05-09),Exports by countries of destination,4485125.206462514
201512,MK09 South Karelia,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,3542896.740265411
201512,MK09 South Karelia,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,12000740.417291591
201512,MK09 South Karelia,F Construction (41-43),Imports by countries of origin,31070130.807054847
201512,MK09 South Karelia,F Construction (41-43),Exports by countries of destination,105242856.87164202
201512,MK09 South Karelia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,43595523.32314468
201512,MK09 South Karelia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,147669716.93277392
201512,MK09 South Karelia,H Transportation and storage (49-53),Imports by countries of origin,23204184.30695043
201512,MK09 South Karelia,H Transportation and storage (49-53),Exports by countries of destination,78598788.7532512
201512,MK09 South Karelia,I Accommodation and food service activities (55-56),Imports by countries of origin,13985495.415108308
201512,MK09 South Karelia,I Accommodation and food service activities (55-56),Exports by countries of destination,47372619.748258114
201512,MK09 South Karelia,J Information and communication (58-63),Imports by countries of origin,7694169.688455185
201512,MK09 South Karelia,J Information and communication (58-63),Exports by countries of destination,26062214.037552442
201512,MK09 South Karelia,K Financial and insurance activities (64-66),Imports by countries of origin,3779089.8562831054
201512,MK09 South Karelia,K Financial and insurance activities (64-66),Exports by countries of destination,12800789.778444365
201512,MK09 South Karelia,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,15538644.087103447
201512,MK09 South Karelia,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,52633550.39583847
201512,MK09 South Karelia,N Administrative and support service activities (77-82),Imports by countries of origin,21386213.05032939
201512,MK09 South Karelia,N Administrative and support service activities (77-82),Exports by countries of destination,72440833.06437834
201512,MK09 South Karelia,O Public administration and defence; compulsory social security (84),Imports by countries of origin,27591650.3711579
201512,MK09 South Karelia,O Public administration and defence; compulsory social security (84),Exports by countries of destination,93460311.73466481
201512,MK09 South Karelia,P Education (85),Imports by countries of origin,25616217.03719173
201512,MK09 South Karelia,P Education (85),Exports by countries of destination,86768989.80502345
201512,MK09 South Karelia,Q Human health and social work activities (86-88),Imports by countries of origin,58475689.632259406
201512,MK09 South Karelia,Q Human health and social work activities (86-88),Exports by countries of destination,198072826.68539858
201512,MK09 South Karelia,"R, S Other service activities (90-96)",Imports by countries of origin,16433314.981109863
201512,MK09 South Karelia,"R, S Other service activities (90-96)",Exports by countries of destination,55664040.40020503
201512,MK09 South Karelia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,1488732.3676266777
201512,MK09 South Karelia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,5042735.367265962
201512,MK10 South Savo,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,20506012.04133386
201512,MK10 South Savo,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,32259457.967464246
201512,MK10 South Savo,B Mining and quarrying (05-09),Imports by countries of origin,411648.00662445877
201512,MK10 South Savo,B Mining and quarrying (05-09),Exports by countries of destination,647592.5957872584
201512,MK10 South Savo,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,1960632.7738195872
201512,MK10 South Savo,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,3084410.095399107
201512,MK10 South Savo,F Construction (41-43),Imports by countries of origin,19198923.525454137
201512,MK10 South Savo,F Construction (41-43),Exports by countries of destination,30203184.57053151
201512,MK10 South Savo,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,26850483.8960098
201512,MK10 South Savo,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,42240395.39738127
201512,MK10 South Savo,H Transportation and storage (49-53),Imports by countries of origin,12366415.374264669
201512,MK10 South Savo,H Transportation and storage (49-53),Exports by countries of destination,19454482.722928565
201512,MK10 South Savo,I Accommodation and food service activities (55-56),Imports by countries of origin,8788897.131126331
201512,MK10 South Savo,I Accommodation and food service activities (55-56),Exports by countries of destination,13826435.730674352
201512,MK10 South Savo,J Information and communication (58-63),Imports by countries of origin,3938240.7231700798
