Business_ID,business_line_code
0748702-6,73112
0761233-3,00000
0762007-7,00000
0757489-1,00000
0747597-3,00000
0747486-6,00000
0756055-3,00000
0755346-8,00000
0755344-1,00000
0755304-6,64990
0755040-0,46190
0755031-2,00000
0754632-1,71126
0754628-4,00000
0755830-6,00000
0756208-1,00000
0746555-6,41200
0746548-4,41200
0746541-7,71124
0762644-4,00000
0757169-0,00000
0757143-9,00000
0757087-4,00000
0757058-3,00000
0761774-0,00000
1990263-7,41100
0782250-9,00000
0790745-7,00000
0794119-6,46499
0782224-2,00000
0762031-7,00000
0760183-7,41200
0759428-6,00000
0759423-5,00000
0759422-7,82910
0759419-8,00000
0762642-8,00000
0762626-8,00000
0762584-7,00000
0762581-2,00000
0762577-5,00000
0762084-3,00000
0762083-5,00000
0762065-9,00000
0761076-8,00000
0759366-2,00000
0757545-6,00000
0759365-4,00000
0758525-9,64990
0768273-7,00000
0768289-2,00000
0768254-2,00000
0762662-0,00000
0767796-2,00000
0762708-4,00000
0763010-1,66190
0762880-2,68310
0762868-5,00000
0762857-0,00000
0762834-3,00000
0762736-7,00000
0762734-0,00000
0765687-0,00000
0765680-3,00000
2467245-0,47713
2473023-5,41200
1735309-9,70220
2485761-5,58190
1734849-2,63110
1734364-0,47770
2485841-5,73111
2489273-6,87301
2257372-3,96040
1732636-5,41200
1732053-7,68209
0146711-2,68209
2468789-8,46650
2463524-6,47791
0765635-2,00000
1737589-6,68209
0765613-3,00000
0765550-1,42999
0765548-0,00000
0765511-4,00000
0765507-7,00000
0765381-3,00000
0765158-6,00000
0894486-6,68202
2366937-2,61200
2390721-1,93110
1738884-9,68202
1738605-0,58110
0763207-8,41200
0782197-9,00000
0773159-4,73119
0782148-5,00000
0762715-6,00000
0782139-7,00000
0779402-6,41200
0770112-5,00000
0764875-8,41200
0764852-0,71110
0782046-6,00000
0781968-4,46190
0781804-0,00000
0781715-2,00000
0786447-7,00000
0786390-9,00000
0786355-4,00000
0786770-7,00000
0786514-6,00000
0786572-8,00000
0786741-6,00000
0786734-4,00000
0786730-1,00000
0786710-9,46140
0786636-8,00000
0786629-6,00000
0786812-8,00000
0788068-8,00000
0788066-1,00000
0786849-4,00000
0786845-1,00000
0786844-3,00000
0786839-8,00000
0786836-3,00000
0787463-2,00000
0788128-5,00000
0785535-1,00000
0783253-9,00000
0783240-8,00000
0786957-7,00000
0788054-9,00000
0787388-3,00000
0788051-4,00000
0788050-6,00000
0788044-2,00000
0788025-8,00000
0788023-1,00000
0788022-3,00000
0788021-5,00000
0788020-7,00000
0787500-2,00000
0787479-8,00000
0787411-4,00000
0787407-7,00000
0656476-3,66190
0656041-2,46692
0651869-5,41200
0666353-4,64990
0664415-7,84121
0662909-6,70220
0783218-4,00000
0783173-9,00000
0799015-8,00000
0799212-9,00000
0798035-5,00000
0799044-9,00000
0799019-0,00000
0799016-6,00000
0799011-5,00000
0783140-5,00000
0799004-3,00000
0799001-9,00000
0798997-4,00000
0798991-5,00000
0798980-0,00000
0799227-6,00000
0799253-2,00000
0799254-0,00000
0799256-7,00000
0798110-4,00000
0798093-7,00000
0798068-9,66190
0798063-8,00000
0798036-3,00000
0798789-9,00000
0798792-8,00000
0798794-4,00000
0798796-0,00000
0799309-2,00000
0799307-6,00000
0799300-9,00000
0799295-4,00000
0799270-0,00000
0799263-9,00000
0798807-4,00000
0798802-3,00000
0799040-6,00000
0788617-4,00000
0788575-3,00000
0788488-1,00000
0788485-7,00000
0788473-4,00000
0788430-4,00000
0788169-9,00000
0788166-4,00000
0788720-6,00000
0782320-2,00000
0788583-3,00000
0788733-7,00000
0797608-1,43120
0790144-2,00000
0790142-6,00000
0790129-0,00000
0790128-2,00000
0789846-6,00000
0789820-4,00000
0798154-2,00000
0798449-5,00000
0798489-0,00000
0782321-0,00000
0783447-0,47599
0785487-7,00000
0785481-8,00000
0785394-6,00000
0785383-1,00000
0785373-5,00000
0785275-9,46510
0785191-6,00000
0785120-3,41200
0783352-3,00000
0782323-7,00000
0783111-4,00000
0782822-2,00000
0782529-1,00000
0782527-5,00000
0782522-4,00000
0782514-4,00000
0782509-9,00000
0798772-5,00000
0798764-5,00000
0798758-1,00000
0798747-7,00000
0798745-0,00000
0798704-7,00000
0798696-8,00000
0798682-9,00000
0798673-0,00000
0798639-4,00000
0798637-8,00000
0798573-8,00000
0798512-1,00000
0798495-4,00000
0798771-7,00000
0798786-4,00000
0788148-8,00000
0784276-1,00000
0784253-4,00000
0784244-6,00000
0784241-1,00000
0784238-2,00000
0784207-5,00000
0784206-7,00000
0784173-4,00000
0788130-6,00000
0642232-7,68209
0857071-0,46692
1731559-4,45112
0282731-9,71123
1650065-9,72191
2453446-1,43999
1648635-9,86230
1648527-6,70220
0147543-8,68209
1648287-6,29200
1648195-3,68209
0397931-4,47599
1635303-8,66120
0580000-7,25620
1646349-9,90010
0667315-0,64990
2404174-7,43120
1638959-1,79900
1638926-8,56102
1587673-4,68202
2415582-4,46190
2379863-3,25110
1492633-0,68209
1651057-4,63120
0728489-4,71125
1646224-2,45192
1646234-9,66190
1656690-6,70220
1654487-0,68209
1654444-0,62010
0935072-8,93110
1654346-4,68209
1654276-0,86909
0958160-6,71110
1051170-1,43120
1652813-3,68209
1652753-6,01110
1962076-0,62010
2302246-4,56101
1625175-2,50201
1624955-6,74901
1624685-7,82110
1619612-4,62010
1618416-6,46521
1844882-3,36000
1617184-0,25110
1617149-6,82990
1617146-1,43999
1620659-9,74901
1657267-9,70220
1626872-2,45201
1628178-3,41200
1771801-9,33122
1637798-8,46220
