"INTERNATIONAL TRADE IN GOODS BY REGION, CC BY 4.0"

,,,"Cum. statistical value (euro) from the beginning of the year","Cum. change %","Share of total%","Share of enterprises in industrial sector %","Share of enterprises in trade sector %","Share of enterprises in other industries %","Share of private domestic enterprises %","Share of state or municipal enterprises %","Share of foreign-owned enterprises %","Number of places of enterprises","Number of enterprise places engaged in Extra-EU trade"
"202112","17 Kainuu","Exports by countries of destination",520000000,31.6,0.8,22.6,54.9,22.5,22.4,5.3,72.3,104,63
"202112","18 Lappi","Imports by countries of origin",2409000000,50.5,3.3,93.3,4.6,2.1,86.9,0.1,13.0,980,291
"202112","18 Lappi","Exports by countries of destination",4244000000,23.2,6.2,88.1,0.9,10.9,81.3,0.1,18.6,480,198
"202112","19 Ahvenanmaa","Imports by countries of origin",385000000,24.5,0.5,11.3,17.6,71.2,63.9,26.3,9.8,553,174
"202112","19 Ahvenanmaa","Exports by countries of destination",113000000,32.9,0.2,71.5,11.7,16.8,59.7,1.4,38.8,175,58
"202112","20 Unknown","Imports by countries of origin",2127000000,1.1,2.9,15.2,72.0,12.8,3.7,0.2,96.1,747,117
"202112","20 Unknown","Exports by countries of destination",938000000,21.8,1.4,15.9,73.3,10.8,1.2,0,98.8,278,79
"202112","21 Total","Imports by countries of origin",72936000000,22.0,100.0,41.3,47.9,10.8,50.6,4.0,45.4,38287,17664
"202112","21 Total","Exports by countries of destination",68908000000,20.0,100.0,77.5,14.1,8.4,55.9,1.9,42.3,18113,10667
"202012","1 Uusimaa","Imports by countries of origin",33873000000,-11.8,56.7,28.6,60.8,10.6,51.0,4.2,44.8,14592,6519
"202012","1 Uusimaa","Exports by countries of destination",16571000000,-14.4,28.8,61.3,22.3,16.4,51.8,3.2,45.0,6893,4079
"202012","2 Varsinais-Suomi","Imports by countries of origin",4825000000,-12.1,8.1,69.5,26.8,3.7,68.3,0.2,31.4,3829,1465
"202012","2 Varsinais-Suomi","Exports by countries of destination",6916000000,-7.2,12.0,88.9,7.0,4.1,55.4,0,44.6,1689,951
"202012","3 Satakunta","Imports by countries of origin",1842000000,6.2,3.1,83.4,7.6,9.0,30.6,0.4,69.0,1431,503
"202012","3 Satakunta","Exports by countries of destination",3957000000,-0.6,6.9,67.2,30.6,2.3,27.0,0.2,72.8,607,331
"202012","4 Kanta-Häme","Imports by countries of origin",1003000000,3.2,1.7,38.1,54.0,7.9,62.9,3.7,33.4,1099,405
"202012","4 Kanta-Häme","Exports by countries of destination",1316000000,-5.6,2.3,91.1,3.1,5.8,31.5,1.0,67.5,466,234
"202012","5 Pirkanmaa","Imports by countries of origin",3527000000,-5.3,5.9,47.2,43.6,9.2,54.0,5.5,40.5,3369,1442
"202012","5 Pirkanmaa","Exports by countries of destination",4871000000,-7.4,8.5,93.0,3.8,3.2,63.7,0.8,35.5,1618,955
"202012","6 Päijät-Häme","Imports by countries of origin",1145000000,-5.9,1.9,64.6,31.3,4.0,61.5,0.4,38.1,1380,575
"202012","6 Päijät-Häme","Exports by countries of destination",1648000000,-13.1,2.9,93.9,4.6,1.5,87.3,0,12.7,646,396
"202012","7 Kymenlaakso","Imports by countries of origin",856000000,-18.4,1.4,43.6,31.0,25.4,42.6,0.2,57.3,884,315
"202012","7 Kymenlaakso","Exports by countries of destination",3003000000,-35.8,5.2,84.3,4.8,10.9,73.1,0,26.9,462,308
"202012","8 Etelä-Karjala","Imports by countries of origin",457000000,-10.1,0.8,73.6,19.3,7.1,88.2,0.2,11.6,664,265
"202012","8 Etelä-Karjala","Exports by countries of destination",1944000000,-7.7,3.4,96.2,1.6,2.2,88.4,0.1,11.6,386,273
"202012","9 Etelä-Savo","Imports by countries of origin",286000000,-1.2,0.5,69.3,20.2,10.5,55.1,2.0,42.9,583,192
