"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"202112","C 19-22 Chemical industry products","Exports by countries of destination",3919787573,36.9,19.4,100.0,12674087063,19.3,18.4,100.0
"202112","C 24-25 Metals and metal products","Imports by countries of origin",2223667421,65.7,10.4,100.0,7327520791,35.5,10.0,100.0
"202112","C 24-25 Metals and metal products","Exports by countries of destination",3167509932,37.9,15.7,100.0,11447937259,28.4,16.6,100.0
"202112","C 26-27 Electrical and electronics products","Imports by countries of origin",3109352008,27.5,14.6,100.0,10416309934,17.0,14.3,100.0
"202112","C 26-27 Electrical and electronics products","Exports by countries of destination",2136362744,16.6,10.6,100.0,7721144634,13.4,11.2,100.0
"202112","C 28 Machinery and equipment","Imports by countries of origin",1772067085,16.3,8.3,100.0,6557260560,8.8,9.0,100.0
"202112","C 28 Machinery and equipment","Exports by countries of destination",2401733690,3.4,11.9,100.0,8977866042,4.2,13.0,100.0
"202112","C 29-30 Vehicles","Imports by countries of origin",2293856712,30.2,10.7,100.0,7953258041,25.0,10.9,100.0
"202112","C 29-30 Vehicles","Exports by countries of destination",2504791266,13.4,12.4,100.0,6184952774,26.4,9.0,100.0
"202112","D Electricity, gas, heat, cooling","Imports by countries of origin",687821829,273.7,3.2,100.0,1729745120,176.7,2.4,100.0
"202112","D Electricity, gas, heat, cooling","Exports by countries of destination",224256121,229.2,1.1,100.0,566753976,173.2,0.8,100.0
"202112","ZZ Other products","Imports by countries of origin",7973264959,42.9,37.3,100.0,25945944686,21.9,35.6,100.0
"202112","ZZ Other products","Exports by countries of destination",2506728861,19.9,12.4,100.0,8865188307,21.3,12.9,100.0
"202112","X Unspecified","Imports by countries of origin",1045750479,21.3,4.9,100.0,3550721900,11.0,4.9,100.0
"202112","X Unspecified","Exports by countries of destination",430904309,6.9,2.1,100.0,1441048050,7.7,2.1,100.0
"202109","TOTAL In total","Imports by countries of origin",18250937554,22.1,100.0,100.0,51568433498,16.6,100.0,100.0
"202109","TOTAL In total","Exports by countries of destination",17329062889,25.7,100.0,100.0,48751037217,18.2,100.0,100.0
"202109","A Agricultural, forestry and fishery products","Imports by countries of origin",440209824,12.0,2.4,100.0,1427175038,3.3,2.8,100.0
"202109","A Agricultural, forestry and fishery products","Exports by countries of destination",226233779,62.5,1.3,100.0,600307012,43.7,1.2,100.0
"202109","B Mining and quarrying products","Imports by countries of origin",2161389346,53.3,11.8,100.0,5284121056,29.2,10.2,100.0
"202109","B Mining and quarrying products","Exports by countries of destination",229725897,32.9,1.3,100.0,730633575,64.3,1.5,100.0
"202109","C Industrial products","Imports by countries of origin",13881197923,16.5,76.1,100.0,40287028111,14.3,78.1,100.0
"202109","C Industrial products","Exports by countries of destination",16155219288,24.5,93.2,100.0,45593798990,17.1,93.5,100.0
"202109","C 16-18 Forest industry products","Imports by countries of origin",390325464,20.8,2.1,100.0,1089132868,4.7,2.1,100.0
