Time,Area,Industry,Employment
201512,MK07 Päijät-Häme,O Public administration and defence; compulsory social security (84),0.03433486564617791
201512,MK07 Päijät-Häme,P Education (85),0.05465380787640397
201512,MK07 Päijät-Häme,Q Human health and social work activities (86-88),0.180252120752571
201512,MK07 Päijät-Häme,"R, S Other service activities (90-96)",0.04397895834320649
201512,MK07 Päijät-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.004063788446045212
201512,MK08 Kymenlaakso,10-12 Food industry etc.,0.012936233933696601
201512,MK08 Kymenlaakso,"13-15 Textile, clothing and leather industry",0.0028700969177654838
201512,MK08 Kymenlaakso,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.007584265768201545
201512,MK08 Kymenlaakso,"17, 18 Paper industry; Printing",0.037574698778475656
201512,MK08 Kymenlaakso,19-22 Chemical industry,0.012645064681169669
201512,MK08 Kymenlaakso,23 Manufacture of other non-metallic mineral products,0.006156149910569443
201512,MK08 Kymenlaakso,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.015265587953912066
201512,MK08 Kymenlaakso,"26, 27 Manufacture of electrical and electronic products",0.0018995327426757067
201512,MK08 Kymenlaakso,28 Manufacture of machinery and equipment n.e.c.,0.013865202501282531
201512,MK08 Kymenlaakso,"29, 30 Manufacture of transport equipment",0.0007903165425731043
201512,MK08 Kymenlaakso,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.018648697364225003
201512,MK08 Kymenlaakso,"681, 68209, 683 Other real estate activities",0.004811225267945037
201512,MK08 Kymenlaakso,"68201, 68202 Letting and operation of dwellings",0.001774745920164164
201512,MK08 Kymenlaakso,"A Agriculture, forestry and fishing (01-03)",0.03796292444851157
201512,MK08 Kymenlaakso,B Mining and quarrying (05-09),0.0024402756402257253
201512,MK08 Kymenlaakso,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.016430264964019798
201512,MK08 Kymenlaakso,F Construction (41-43),0.07302802157425509
201512,MK08 Kymenlaakso,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.10218654243445224
201512,MK08 Kymenlaakso,H Transportation and storage (49-53),0.08014087045741303
201512,MK08 Kymenlaakso,I Accommodation and food service activities (55-56),0.026843032042482978
201512,MK08 Kymenlaakso,J Information and communication (58-63),0.011854748138596563
201512,MK08 Kymenlaakso,K Financial and insurance activities (64-66),0.008069547855746432
201512,MK08 Kymenlaakso,"M Professional, scientific and technical activities (69-75)",0.041290573048819376
201512,MK08 Kymenlaakso,N Administrative and support service activities (77-82),0.049831537789609415
201512,MK08 Kymenlaakso,O Public administration and defence; compulsory social security (84),0.14443381445586012
201512,MK08 Kymenlaakso,P Education (85),0.051453766482259466
201512,MK08 Kymenlaakso,Q Human health and social work activities (86-88),0.16710342054545704
201512,MK08 Kymenlaakso,"R, S Other service activities (90-96)",0.04825090470446321
201512,MK08 Kymenlaakso,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.0018579371351718592
201512,MK09 South Karelia,10-12 Food industry etc.,0.017143508059157445
201512,MK09 South Karelia,"13-15 Textile, clothing and leather industry",0.0012719989368367096
201512,MK09 South Karelia,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.011447990431530384
201512,MK09 South Karelia,"17, 18 Paper industry; Printing",0.051221688531126
201512,MK09 South Karelia,19-22 Chemical industry,0.0075370683272264725
201512,MK09 South Karelia,23 Manufacture of other non-metallic mineral products,0.008733127029028155
